61	2	2
DMU	Recursos	Custo	Adequacao	Sobras
syncstarter	0.75	0.0	0.063	0.25
syncpro1	0.737	0.014	1.0	0.262
syncpro2	0.7	0.027	1.0	0.3
pcloudfree	0.782	0.0	0.063	0.142
pcloudpremium	0.77	0.017	1.0	0.154
pcloudpremiumplus	0.732	0.033	1.0	0.191
tresoritbasic	0.75	0.0	0.063	0.25
tresoritpremium	0.745	0.042	1.0	0.255
tresoritsolo	0.7	0.1	1.0	0.3
onedrivefree	0.862	0.0	0.0	0.0
onedrive50	0.861	0.007	0.563	0.001
onedrive1t	0.837	0.023	0.563	0.025
onedrive5t	0.738	0.033	0.563	0.125
dropboxplus	0.813	0.033	0.563	0.025
dropboxbusiness	0.786	0.05	0.563	0.051
googledrivefree	0.85	0.0	0.563	0.0
googledrive100	0.848	0.007	0.563	0.002
googledrive1t	0.825	0.033	0.563	0.025
googledrive2t	0.8	0.067	0.563	0.05
googledrive10t	0.6	0.333	0.563	0.25
googledrive20t	0.35	0.667	0.563	0.5
googledrive30t	0.1	1.0	0.563	0.75
sugarsync100	0.81	0.025	1.0	0.044
sugarsync250	0.806	0.033	1.0	0.048
sugarsync500	0.8	0.063	1.0	0.054
amazondrive5	0.875	0.0	0.0	0.0
amazondrive100	0.873	0.003	0.563	0.002
amazondrive1t	0.85	0.017	0.563	0.025
amazondrive2t	0.825	0.033	0.563	0.05
amazondrive3t	0.8	0.05	0.563	0.075
amazondrive4t	0.775	0.067	0.563	0.1
amazondrive5t	0.75	0.083	0.563	0.125
amazondrive6t	0.725	0.1	0.563	0.15
amazondrive7t	0.7	0.117	0.563	0.175
amazondrive8t	0.675	0.133	0.563	0.2
amazondrive9t	0.65	0.15	0.563	0.225
amazondrive10t	0.625	0.167	0.563	0.25
amazondrive20t	0.375	0.333	0.563	0.5
amazondrive30t	0.125	0.5	0.563	0.75
megafree	0.802	0.0	1.0	0.075
megaprolite	0.798	0.019	1.0	0.08
megapro1	0.778	0.039	1.0	0.1
megapro2	0.703	0.077	1.0	0.175
megapro3	0.603	0.116	1.0	0.275
opendrivefree	0.8	0.0	0.063	0.083
opendrivepersonal	0.787	0.017	1.0	0.095
icloudfree	0.8	0.0	0.063	0.083
icloud50	0.799	0.003	1.0	0.084
icloud200	0.795	0.01	1.0	0.088
icloud2t	0.75	0.033	1.0	0.133
mediafirefree	0.887	0.0	0.0	0.0
mediafirepro	0.863	0.017	0.563	0.025
bitcasafree	1.0	0.0	0.0	0.0
bitcasapremium	0.975	0.033	0.563	0.025
bitcasapro	0.75	0.33	0.563	0.25
hubicfree	0.949	0.0	0.563	0.0
hubic100	0.948	0.004	0.563	0.002
hubic10t	0.7	0.019	0.563	0.25
justcloudhome	0.948	0.036	0.563	0.002
justcloudpremium	0.944	0.04	0.563	0.006
justcloudultimate	0.925	0.048	0.563	0.025
