100	2	2
DMU	Recursos	Custo	Adequacao	Sobras
p1	0.87	0.111	0.017	0.0
p2	0.66	0.056	0.116	0.0
p3	0.07	0.167	0.865	0.0
p4	0.811	0.333	0.073	0.0
p5	0.741	0.389	0.116	0.0
p6	0.821	0.556	0.04	0.0
p7	0.07	0.5	0.865	0.0
p8	0.909	0.444	0.017	0.0
p9	0.6	0.667	0.16	0.0
p10	0.232	1.0	0.757	0.0
p11	0.87	0.111	0.017	0.0
p12	0.66	0.167	0.116	0.0
p13	0.07	0.278	0.865	0.0
p14	0.811	0.333	0.073	0.0
p15	0.741	0.389	0.116	0.0
p16	0.821	0.556	0.04	0.0
p17	0.07	0.5	0.865	0.0
p18	0.909	0.444	0.017	0.0
p19	0.6	0.667	0.16	0.0
p20	0.232	1.0	0.757	0.0
p21	0.87	0.111	0.017	0.0
p22	0.66	0.167	0.116	0.0
p23	0.07	0.278	0.865	0.0
p24	0.811	0.333	0.073	0.0
p25	0.741	0.389	0.116	0.0
p26	0.821	0.556	0.04	0.0
p27	0.07	0.5	0.865	0.0
p28	0.909	0.444	0.017	0.0
p29	0.6	0.667	0.16	0.0
p30	0.232	1.0	0.757	0.0
p31	0.87	0.111	0.017	0.0
p32	0.66	0.167	0.116	0.0
p33	0.07	0.278	0.865	0.0
p34	0.811	0.333	0.073	0.0
p35	0.741	0.389	0.116	0.0
p36	0.821	0.556	0.04	0.0
p37	0.07	0.5	0.865	0.0
p38	0.909	0.444	0.017	0.0
p39	0.6	0.667	0.16	0.0
p40	0.232	1.0	0.757	0.0
p41	0.87	0.111	0.017	0.0
p42	0.66	0.167	0.116	0.0
p43	0.07	0.278	0.865	0.0
p44	0.811	0.333	0.073	0.0
p45	0.741	0.389	0.116	0.0
p46	0.821	0.556	0.04	0.0
p47	0.07	0.5	0.865	0.0
p48	0.909	0.444	0.017	0.0
p49	0.6	0.667	0.16	0.0
p50	0.232	1.0	0.757	0.0
p51	0.87	0.111	0.017	0.0
p52	0.66	0.167	0.116	0.0
p53	0.07	0.278	0.865	0.0
p54	0.811	0.333	0.073	0.0
p55	0.741	0.389	0.116	0.0
p56	0.821	0.556	0.04	0.0
p57	0.07	0.5	0.865	0.0
p58	0.909	0.444	0.017	0.0
p59	0.6	0.667	0.16	0.0
p60	0.232	1.0	0.757	0.0
p61	0.87	0.111	0.017	0.0
p62	0.66	0.167	0.116	0.0
p63	0.07	0.278	0.865	0.0
p64	0.811	0.333	0.073	0.0
p65	0.741	0.389	0.116	0.0
p66	0.821	0.556	0.04	0.0
p67	0.07	0.5	0.865	0.0
p68	0.909	0.444	0.017	0.0
p69	0.6	0.667	0.16	0.0
p70	0.232	1.0	0.757	0.0
p71	0.87	0.111	0.017	0.0
p72	0.66	0.167	0.116	0.0
p73	0.07	0.278	0.865	0.0
p74	0.811	0.333	0.073	0.0
p75	0.741	0.389	0.116	0.0
p76	0.821	0.556	0.04	0.0
p77	0.07	0.5	0.865	0.0
p78	0.909	0.444	0.017	0.0
p79	0.6	0.667	0.16	0.0
p80	0.232	1.0	0.757	0.0
p81	0.87	0.111	0.017	0.0
p82	0.66	0.167	0.116	0.0
p83	0.07	0.278	0.865	0.0
p84	0.811	0.333	0.073	0.0
p85	0.741	0.389	0.116	0.0
p86	0.821	0.556	0.04	0.0
p87	0.07	0.5	0.865	0.0
p88	0.909	0.444	0.017	0.0
p89	0.6	0.667	0.16	0.0
p90	0.232	1.0	0.757	0.0
p91	0.87	0.111	0.017	0.0
p92	0.66	0.167	0.116	0.0
p93	0.07	0.278	0.865	0.0
p94	0.811	0.333	0.073	0.0
p95	0.741	0.389	0.116	0.0
p96	0.821	0.556	0.04	0.0
p97	0.07	0.5	0.865	0.0
p98	0.909	0.444	0.017	0.0
p99	0.6	0.667	0.16	0.0
p100	0.232	1.0	0.757	0.0
