100	2	2
DMU	Recursos	Custo	Adequacao	Sobras
p1	1.0	0.111	0.0	0.0
p2	0.6	0.056	0.16	0.0
p3	0.8	0.278	0.04	0.0
p4	0.26	0.222	0.64	0.0
p5	0.66	0.389	0.16	0.0
p6	0.26	0.556	0.64	0.0
p7	0.8	0.5	0.04	0.0
p8	0.4	0.444	0.36	0.0
p9	0.2	0.667	0.64	0.0
p10	0.12	1.0	1.0	0.0
p11	1.0	0.111	0.0	0.0
p12	0.6	0.167	0.16	0.0
p13	0.8	0.278	0.04	0.0
p14	0.26	0.333	0.64	0.0
p15	0.66	0.389	0.16	0.0
p16	0.26	0.556	0.64	0.0
p17	0.8	0.5	0.04	0.0
p18	0.4	0.444	0.36	0.0
p19	0.2	0.667	0.64	0.0
p20	0.12	1.0	1.0	0.0
p21	1.0	0.111	0.0	0.0
p22	0.6	0.167	0.16	0.0
p23	0.8	0.278	0.04	0.0
p24	0.26	0.333	0.64	0.0
p25	0.66	0.389	0.16	0.0
p26	0.26	0.556	0.64	0.0
p27	0.8	0.5	0.04	0.0
p28	0.4	0.444	0.36	0.0
p29	0.2	0.667	0.64	0.0
p30	0.12	1.0	1.0	0.0
p31	1.0	0.111	0.0	0.0
p32	0.6	0.167	0.16	0.0
p33	0.8	0.278	0.04	0.0
p34	0.26	0.333	0.64	0.0
p35	0.66	0.389	0.16	0.0
p36	0.26	0.556	0.64	0.0
p37	0.8	0.5	0.04	0.0
p38	0.4	0.444	0.36	0.0
p39	0.2	0.667	0.64	0.0
p40	0.12	1.0	1.0	0.0
p41	1.0	0.111	0.0	0.0
p42	0.6	0.167	0.16	0.0
p43	0.8	0.278	0.04	0.0
p44	0.26	0.333	0.64	0.0
p45	0.66	0.389	0.16	0.0
p46	0.26	0.556	0.64	0.0
p47	0.8	0.5	0.04	0.0
p48	0.4	0.444	0.36	0.0
p49	0.2	0.667	0.64	0.0
p50	0.12	1.0	1.0	0.0
p51	1.0	0.111	0.0	0.0
p52	0.6	0.167	0.16	0.0
p53	0.8	0.278	0.04	0.0
p54	0.26	0.333	0.64	0.0
p55	0.66	0.389	0.16	0.0
p56	0.26	0.556	0.64	0.0
p57	0.8	0.5	0.04	0.0
p58	0.4	0.444	0.36	0.0
p59	0.2	0.667	0.64	0.0
p60	0.12	1.0	1.0	0.0
p61	1.0	0.111	0.0	0.0
p62	0.6	0.167	0.16	0.0
p63	0.8	0.278	0.04	0.0
p64	0.26	0.333	0.64	0.0
p65	0.66	0.389	0.16	0.0
p66	0.26	0.556	0.64	0.0
p67	0.8	0.5	0.04	0.0
p68	0.4	0.444	0.36	0.0
p69	0.2	0.667	0.64	0.0
p70	0.12	1.0	1.0	0.0
p71	1.0	0.111	0.0	0.0
p72	0.6	0.167	0.16	0.0
p73	0.8	0.278	0.04	0.0
p74	0.26	0.333	0.64	0.0
p75	0.66	0.389	0.16	0.0
p76	0.26	0.556	0.64	0.0
p77	0.8	0.5	0.04	0.0
p78	0.4	0.444	0.36	0.0
p79	0.2	0.667	0.64	0.0
p80	0.12	1.0	1.0	0.0
p81	1.0	0.111	0.0	0.0
p82	0.6	0.167	0.16	0.0
p83	0.8	0.278	0.04	0.0
p84	0.26	0.333	0.64	0.0
p85	0.66	0.389	0.16	0.0
p86	0.26	0.556	0.64	0.0
p87	0.8	0.5	0.04	0.0
p88	0.4	0.444	0.36	0.0
p89	0.2	0.667	0.64	0.0
p90	0.12	1.0	1.0	0.0
p91	1.0	0.111	0.0	0.0
p92	0.6	0.167	0.16	0.0
p93	0.8	0.278	0.04	0.0
p94	0.26	0.333	0.64	0.0
p95	0.66	0.389	0.16	0.0
p96	0.26	0.556	0.64	0.0
p97	0.8	0.5	0.04	0.0
p98	0.4	0.444	0.36	0.0
p99	0.2	0.667	0.64	0.0
p100	0.12	1.0	1.0	0.0
