100	2	2
DMU	Recursos	Custo	Adequacao	Sobras
p1	1.0	0.111	0.0	0.0
p2	1.0	0.167	0.0	0.0
p3	1.0	0.278	0.0	0.0
p4	0.75	0.333	0.063	0.0
p5	0.5	0.278	0.25	0.0
p6	0.75	0.444	0.063	0.0
p7	0.75	0.5	0.063	0.0
p8	0.75	0.333	0.063	0.0
p9	0.75	0.667	0.063	0.0
p10	0.5	1.0	0.25	0.0
p11	1.0	0.111	0.0	0.0
p12	1.0	0.167	0.0	0.0
p13	1.0	0.278	0.0	0.0
p14	0.75	0.333	0.063	0.0
p15	0.5	0.389	0.25	0.0
p16	0.75	0.556	0.063	0.0
p17	0.75	0.5	0.063	0.0
p18	0.75	0.444	0.063	0.0
p19	0.75	0.667	0.063	0.0
p20	0.5	1.0	0.25	0.0
p21	1.0	0.111	0.0	0.0
p22	1.0	0.167	0.0	0.0
p23	1.0	0.278	0.0	0.0
p24	0.75	0.333	0.063	0.0
p25	0.5	0.389	0.25	0.0
p26	0.75	0.556	0.063	0.0
p27	0.75	0.5	0.063	0.0
p28	0.75	0.444	0.063	0.0
p29	0.75	0.667	0.063	0.0
p30	0.5	1.0	0.25	0.0
p31	1.0	0.111	0.0	0.0
p32	1.0	0.167	0.0	0.0
p33	1.0	0.278	0.0	0.0
p34	0.75	0.333	0.063	0.0
p35	0.5	0.389	0.25	0.0
p36	0.75	0.556	0.063	0.0
p37	0.75	0.5	0.063	0.0
p38	0.75	0.444	0.063	0.0
p39	0.75	0.667	0.063	0.0
p40	0.5	1.0	0.25	0.0
p41	1.0	0.111	0.0	0.0
p42	1.0	0.167	0.0	0.0
p43	1.0	0.278	0.0	0.0
p44	0.75	0.333	0.063	0.0
p45	0.5	0.389	0.25	0.0
p46	0.75	0.556	0.063	0.0
p47	0.75	0.5	0.063	0.0
p48	0.75	0.444	0.063	0.0
p49	0.75	0.667	0.063	0.0
p50	0.5	1.0	0.25	0.0
p51	1.0	0.111	0.0	0.0
p52	1.0	0.167	0.0	0.0
p53	1.0	0.278	0.0	0.0
p54	0.75	0.333	0.063	0.0
p55	0.5	0.389	0.25	0.0
p56	0.75	0.556	0.063	0.0
p57	0.75	0.5	0.063	0.0
p58	0.75	0.444	0.063	0.0
p59	0.75	0.667	0.063	0.0
p60	0.5	1.0	0.25	0.0
p61	1.0	0.111	0.0	0.0
p62	1.0	0.167	0.0	0.0
p63	1.0	0.278	0.0	0.0
p64	0.75	0.333	0.063	0.0
p65	0.5	0.389	0.25	0.0
p66	0.75	0.556	0.063	0.0
p67	0.75	0.5	0.063	0.0
p68	0.75	0.444	0.063	0.0
p69	0.75	0.667	0.063	0.0
p70	0.5	1.0	0.25	0.0
p71	1.0	0.111	0.0	0.0
p72	1.0	0.167	0.0	0.0
p73	1.0	0.278	0.0	0.0
p74	0.75	0.333	0.063	0.0
p75	0.5	0.389	0.25	0.0
p76	0.75	0.556	0.063	0.0
p77	0.75	0.5	0.063	0.0
p78	0.75	0.444	0.063	0.0
p79	0.75	0.667	0.063	0.0
p80	0.5	1.0	0.25	0.0
p81	1.0	0.111	0.0	0.0
p82	1.0	0.167	0.0	0.0
p83	1.0	0.278	0.0	0.0
p84	0.75	0.333	0.063	0.0
p85	0.5	0.389	0.25	0.0
p86	0.75	0.556	0.063	0.0
p87	0.75	0.5	0.063	0.0
p88	0.75	0.444	0.063	0.0
p89	0.75	0.667	0.063	0.0
p90	0.5	1.0	0.25	0.0
p91	1.0	0.111	0.0	0.0
p92	1.0	0.167	0.0	0.0
p93	1.0	0.278	0.0	0.0
p94	0.75	0.333	0.063	0.0
p95	0.5	0.389	0.25	0.0
p96	0.75	0.556	0.063	0.0
p97	0.75	0.5	0.063	0.0
p98	0.75	0.444	0.063	0.0
p99	0.75	0.667	0.063	0.0
p100	0.5	1.0	0.25	0.0
